ISIN코드,기업명,배당기준일,기준종가일,종가,1주당배당금,공시배당률,투자금액,시가배당률(%),매수주식수,총배당금,투자금대비배당률(%)
KR7001820000,삼화콘덴서공업,2023-12-31,2023-12-28,38100.0,500.0,50.0,10000000.0,1.3123359580052494,262,131000.0,1.31
KR7001820000,삼화콘덴서공업,2024-12-31,2024-12-30,27550.0,500.0,50.0,10000000.0,1.8148820326678767,362,181000.0,1.81
KR7001840008,이화공영,2020-12-31,2020-12-30,5330.0,10.0,2.0,10000000.0,0.18761726078799248,1876,18760.0,0.18760000000000002
KR7001880004,디엘건설,2020-12-31,2020-12-30,30550.0,550.0,11.0,10000000.0,1.800327332242226,327,179850.0,1.7985000000000002
KR7001880004,디엘건설,2021-12-31,2021-12-30,27150.0,750.0,15.0,10000000.0,2.7624309392265194,368,276000.0,2.76
KR7001880004,디엘건설,2022-12-31,2022-12-29,14850.0,250.0,5.0,10000000.0,1.6835016835016834,673,168250.0,1.6824999999999999
KR7001880004,디엘건설,2023-12-31,2023-12-28,12780.0,190.0,3.8,10000000.0,1.486697965571205,782,148580.0,1.4858
KR7001940006,KISCO홀딩스,2020-12-31,2020-12-30,14200.0,300.0,30.0,10000000.0,2.112676056338028,704,211200.0,2.112
KR7001940006,KISCO홀딩스,2021-12-31,2021-12-30,14550.0,400.0,40.0,10000000.0,2.7491408934707904,687,274800.0,2.748
KR7001940006,KISCO홀딩스,2022-12-31,2022-12-29,15650.0,600.0,60.0,10000000.0,3.8338658146964857,638,382800.0,3.8280000000000003
KR7001940006,KISCO홀딩스,2023-12-31,2023-12-28,23800.0,900.0,90.0,10000000.0,3.7815126050420167,420,378000.0,3.7800000000000002
KR7001940006,KISCO홀딩스,2024-12-31,2024-12-30,19960.0,1800.0,180.0,10000000.0,9.01803607214429,501,901800.0,9.017999999999999
KR7001940006,KISCO홀딩스,2025-06-20,2025-06-19,25550.0,1000.0,100.0,10000000.0,3.9138943248532287,391,391000.0,3.91
KR7002020006,코오롱,2020-12-31,2020-12-30,21800.0,500.0,10.0,10000000.0,2.293577981651376,458,229000.0,2.29
KR7002020006,코오롱,2021-12-31,2021-12-30,33050.0,550.0,11.0,10000000.0,1.6641452344931922,302,166100.0,1.661
